price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
3049.99,LENOVO,64.0,DDR5,15.6,QHD,3686400.0,165.0,IPS,358.8,262.35,19.99,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.4,15486.0,8841.0,1.0,0.0
1819.0,ACER,32.0,DDR5,15.6,FHD,2073600.0,144.0,IPS,360.4,271.1,25.9,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.5,15486.0,8864.0,1.0,0.0
2359.99,ACER,32.0,DDR4,16.0,WQXGA,4096000.0,165.0,IPS,358.14,261.62,19.81,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.44,12390.0,8290.0,1.0,0.0
1099.99,DELL,16.0,DDR4,14.0,FHD+,2304000.0,60.0,IPS,314.0,227.5,15.7,AMD,AMD,0.0,1000.0,WINDOWS,1.55,10523.0,1129.0,1.0,0.0
719.99,LENOVO,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,359.2,235.8,19.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.7,5125.0,1435.0,1.0,0.0
1789.0,HP,64.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,323.3,214.6,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.32,5002.0,1097.0,1.0,0.0
4649.0,HP,64.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.9,228.0,18.4,INTEL,INTEL,0.0,8000.0,WINDOWS,1.82,5002.0,1097.0,1.0,0.0
989.0,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.0,242.0,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.7,9933.0,1435.0,1.0,0.0
3699.99,ASUS,64.0,DDR5,17.3,QHD,3686400.0,240.0,IPS,395.0,282.0,23.4,AMD,NVIDIA,0.0,8000.0,WINDOWS,2.8,34357.0,10610.0,1.0,0.0
1429.0,ASUS,12.0,DDR4,17.3,HD+,1440000.0,60.0,TN,406.9,256.0,19.9,INTEL,INTEL,0.0,4000.0,WINDOWS,2.3,3240.0,425.0,1.0,0.0
1649.99,ACER,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,363.4,255.0,23.9,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.3,4666.0,5970.0,1.0,0.0
579.99,LENOVO,8.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,399.0,274.0,19.9,AMD,AMD,0.0,512.0,WINDOWS,2.04,7983.0,914.0,1.0,0.0
949.0,HP,16.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,325.1,216.6,17.0,AMD,AMD,0.0,1000.0,WINDOWS,1.41,10523.0,1129.0,1.0,0.0
679.99,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,TN,358.5,242.0,17.9,AMD,AMD,0.0,512.0,WINDOWS,1.74,7135.0,914.0,0.0,1.0
1029.99,DELL,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,235.56,17.5,INTEL,INTEL,0.0,1000.0,WINDOWS,1.73,5125.0,1435.0,1.0,0.0
749.99,DELL,24.0,DDR4,15.6,FHD,2073600.0,120.0,IPS,358.5,235.6,15.52,AMD,AMD,1000.0,512.0,WINDOWS,1.84,1839.0,451.0,1.0,0.0
699.99,DELL,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,363.9,249.0,18.0,AMD,AMD,1000.0,256.0,WINDOWS,1.96,2901.0,691.0,1.0,0.0
899.99,DELL,24.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,363.9,249.0,18.0,AMD,AMD,1000.0,512.0,WINDOWS,1.96,2901.0,691.0,1.0,0.0
689.0,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,242.0,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.74,5002.0,1097.0,0.0,1.0
800.0,DELL,8.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.5,235.56,17.5,AMD,AMD,0.0,1000.0,WINDOWS,1.71,2901.0,691.0,0.0,1.0
1499.0,ASUS,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,359.0,256.0,22.8,AMD,NVIDIA,2000.0,2000.0,WINDOWS,2.3,13081.0,7722.0,1.0,0.0
1149.0,HP,64.0,DDR4,17.3,HD+,1440000.0,60.0,TN,400.7,257.8,19.9,AMD,AMD,0.0,2000.0,WINDOWS,2.38,10523.0,1129.0,1.0,0.0
1349.0,ASUS,64.0,DDR5,15.6,FHD,2073600.0,144.0,IPS,354.0,251.0,22.4,AMD,NVIDIA,0.0,4000.0,WINDOWS,2.2,14193.0,5936.0,1.0,0.0
1189.0,DELL,64.0,DDR4,15.6,FHD,2073600.0,120.0,IPS,358.5,235.6,15.52,AMD,AMD,0.0,2000.0,WINDOWS,1.84,10523.0,1129.0,0.0,1.0
879.0,HP,16.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,400.7,257.8,19.9,AMD,AMD,0.0,1000.0,WINDOWS,2.38,7135.0,914.0,0.0,1.0
1199.0,HP,24.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.9,228.0,18.4,INTEL,INTEL,0.0,1000.0,WINDOWS,1.82,5481.0,1435.0,1.0,0.0
799.0,HP,16.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.5,242.0,19.9,INTEL,INTEL,0.0,2000.0,WINDOWS,1.75,5002.0,1097.0,0.0,1.0
3769.0,MSI,64.0,DDR5,15.6,QHD,3686400.0,240.0,IPS,358.3,248.0,18.3,INTEL,NVIDIA,0.0,4000.0,WINDOWS,2.1,16894.0,9638.0,1.0,0.0
679.0,LENOVO,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,359.2,236.5,19.9,AMD,AMD,0.0,512.0,WINDOWS,1.63,10523.0,1129.0,1.0,0.0
889.0,HP,32.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,400.7,257.8,19.9,AMD,AMD,0.0,1000.0,WINDOWS,2.38,7135.0,914.0,1.0,0.0
749.99,ACER,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,363.4,238.5,17.9,INTEL,INTEL,0.0,512.0,WINDOWS,1.65,5125.0,1435.0,1.0,0.0
1319.99,ACER,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,362.9,237.8,17.9,INTEL,INTEL,0.0,2000.0,WINDOWS,1.77,7885.0,1435.0,1.0,0.0
1134.99,HP,16.0,DDR4,17.3,HD+,1440000.0,60.0,TN,400.7,257.8,19.9,AMD,AMD,0.0,2000.0,WINDOWS,2.38,7983.0,914.0,1.0,0.0
1489.99,ASUS,40.0,DDR5,15.6,WQHD,3686400.0,165.0,IPS,355.0,243.0,19.9,AMD,NVIDIA,0.0,1000.0,WINDOWS,1.9,14300.0,8512.0,1.0,0.0
1154.99,ACER,16.0,DDR5,16.0,WQUXGA,9216000.0,60.0,OLED,356.7,242.3,12.95,AMD,AMD,0.0,2000.0,WINDOWS,1.17,10711.0,2282.0,1.0,0.0
949.99,LENOVO,16.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,324.0,220.7,17.9,AMD,AMD,0.0,2000.0,WINDOWS,1.64,8919.0,1129.0,0.0,1.0
4199.0,MSI,64.0,DDR5,17.0,QHD+,4096000.0,240.0,IPS,380.0,298.0,23.0,INTEL,NVIDIA,0.0,4000.0,WINDOWS,3.1,30647.0,19414.0,1.0,0.0
1139.99,HP,24.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,360.1,233.9,17.8,INTEL,INTEL,0.0,1000.0,WINDOWS,1.75,5125.0,1435.0,0.0,1.0
209.0,LENOVO,4.0,DDR4,14.0,HD,1049088.0,60.0,TN,325.3,216.5,17.9,INTEL,INTEL,0.0,256.0,WINDOWS,1.32,1456.0,148.0,1.0,0.0
599.0,LENOVO,8.0,DDR4,13.3,WUXGA,2304000.0,60.0,IPS,308.1,206.5,17.1,AMD,AMD,0.0,256.0,WINDOWS,1.32,7135.0,914.0,1.0,0.0
769.0,LENOVO,8.0,DDR4,15.6,FHD,2073600.0,120.0,IPS,363.0,259.6,23.5,AMD,NVIDIA,1000.0,256.0,WINDOWS,2.3,8648.0,3544.0,1.0,0.0
719.0,ASUS,8.0,LPDDR4X,14.0,FHD,2073600.0,60.0,IPS,319.0,210.0,14.3,AMD,NVIDIA,0.0,512.0,WINDOWS,1.13,7135.0,2140.0,1.0,0.0
909.99,DELL,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,235.56,17.5,INTEL,INTEL,1000.0,512.0,WINDOWS,1.73,5125.0,1435.0,1.0,0.0
699.99,ACER,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,363.4,238.5,17.9,INTEL,INTEL,0.0,128.0,WINDOWS,1.65,5002.0,1097.0,1.0,0.0
1849.0,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.9,229.1,18.54,INTEL,INTEL,0.0,2000.0,WINDOWS,1.7,9933.0,1435.0,1.0,0.0
4479.0,MSI,32.0,DDR5,15.6,QHD,3686400.0,240.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.38,15486.0,12769.0,1.0,0.0
1339.99,HP,64.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.0,242.0,17.9,INTEL,INTEL,0.0,2000.0,WINDOWS,1.7,5002.0,1097.0,1.0,0.0
559.0,HP,16.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,324.0,225.0,17.9,AMD,AMD,0.0,1000.0,WINDOWS,1.46,1839.0,451.0,0.0,1.0
899.99,ACER,20.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,403.5,263.7,20.9,INTEL,INTEL,0.0,1000.0,WINDOWS,2.5,5002.0,1097.0,1.0,0.0
1337.22,ACER,16.0,LPDDR4X,14.0,QHD+,4096000.0,60.0,IPS,320.04,210.82,16.0,INTEL,INTEL,0.0,1000.0,WINDOWS,1.25,9933.0,1435.0,0.0,1.0
