Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
ASUS TUF Dash F15,https://laptopmedia.com/laptop-specs/asus-tuf-dash-f15-1023/,Intel Core i7-12650H,64GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$362900,
Lenovo Legion 5i 15,https://laptopmedia.com/laptop-specs/lenovo-legion-5i-15-1365/,Intel Core i7-12700H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, QHD (2560 x 1440), 165 Hz, IPS",2000GB SSD,$304999,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2848/,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$181900,
Acer Predator Triton 500 SE,https://laptopmedia.com/laptop-specs/acer-predator-triton-500-se-342/,Intel Core i7-11800H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 105W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",1000GB SSD,$235999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14199/,Intel Core i5-1155G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",2000GB SSD,$130999,
Dell Inspiron 5425,https://laptopmedia.com/laptop-specs/dell-inspiron-5425-66/,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0"", FHD+ (1920 x 1200), IPS",1000GB SSD,$109999,
Lenovo V15 Gen 2,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-2-526/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$71999,
HP EliteBook 840 G8,https://laptopmedia.com/laptop-specs/hp-elitebook-840-g8-301/,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$178900,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4373/,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",8000GB SSD,$464900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14074/,Intel Core i7-1260P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$98900,
ASUS ROG Strix G17,https://laptopmedia.com/laptop-specs/asus-rog-strix-g17-234/,AMD Ryzen 9 7945HX,64GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","17.3"", QHD (2560 x 1440), 240 Hz, IPS",8000GB SSD,$369999,
ASUS Vivobook 17,https://laptopmedia.com/laptop-specs/asus-vivobook-17-2887/,Intel Core i5-1035G1,12GB RAM,Intel UHD Graphics G1,"17.3”, HD+ (1600 x 900), TN",4000GB SSD,$142900,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2779/,Intel Core i5-10300H,32GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$164999,
Lenovo IdeaPad 3 17,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-17-1858/,AMD Ryzen 5 5625U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",512GB SSD,$57999,
