Rank,GPU,3DMark Time Spy (G)
1.,"NVIDIA GeForce RTX 4090 (Laptop, 175W)",21036
2.,"NVIDIA GeForce RTX 4080 (Laptop, 175W)",19414
3.,"NVIDIA GeForce RTX 4090 (Laptop, 150W)",19147
4.,"NVIDIA GeForce RTX 3080 Ti (Laptop, 175W)",13304
5.,"NVIDIA GeForce RTX 3080 Ti (Laptop, 150W)",12769
6.,"NVIDIA GeForce RTX 3080 (Laptop, 165W)",12427
7.,"NVIDIA GeForce RTX 3080 (Laptop, 150W)",12163
8.,"NVIDIA GeForce RTX 4070 (Laptop, 105W)",12022
9.,"NVIDIA GeForce RTX 4070 (Laptop, 140W)",11933
10.,AMD Radeon RX 6850M XT,11735
11.,"NVIDIA GeForce RTX 3070 Ti (Laptop, 150W)",11652
12.,"NVIDIA GeForce RTX 3080 (Laptop, 130W)",11441
13.,NVIDIA RTX A5500 (Laptop),11196
14.,"NVIDIA GeForce RTX 3080 Ti (Laptop, 105W)",10755
15.,"NVIDIA GeForce RTX 3070 (Laptop, 140W)",10741
16.,"NVIDIA GeForce RTX 3070 (Laptop, 130W)",10633
17.,"NVIDIA GeForce RTX 4060 (Laptop, 140W)",10607
18.,"NVIDIA GeForce RTX 3080 (Laptop, 100W)",10405
19.,"NVIDIA GeForce RTX 4060 (Laptop, 105W)",10300
20.,"NVIDIA GeForce RTX 3080 (Laptop, 110W)",10188
21.,Intel Arc A730M,10100
22.,"NVIDIA GeForce RTX 3080 (Laptop, 105W)",10092
23.,"NVIDIA GeForce RTX 3070 Ti (Laptop, 100W)",9816
24.,"NVIDIA GeForce RTX 3070 Ti (Laptop, 115W)",9772
25.,"NVIDIA GeForce RTX 2080 SUPER (Laptop, 150W)",9700
26.,"NVIDIA GeForce RTX 3070 Ti (Laptop, 105W)",9638
27.,"NVIDIA GeForce RTX 3080 (Laptop, 95W)",9612
28.,"NVIDIA GeForce RTX 4070 (Laptop, 65W)",9521
29.,AMD Radeon RX 6700M,9521
30.,"NVIDIA GeForce RTX 3080 Ti (Laptop, 165W)",9505
31.,NVIDIA GeForce RTX 2080 SUPER Max-Q (90W),9203
32.,"NVIDIA GeForce RTX 3070 (Laptop, 95W)",9122
33.,"NVIDIA GeForce RTX 3070 (Laptop, 100W)",8886
34.,"NVIDIA GeForce RTX 3060 (Laptop, 140W)",8864
35.,"NVIDIA GeForce RTX 3060 (Laptop, 130W)",8841
36.,"NVIDIA GeForce RTX 4050 (Laptop, 140W)",8672
37.,"NVIDIA GeForce RTX 3060 (Laptop, 120W)",8512
38.,"NVIDIA GeForce RTX 4050 (Laptop, 105W)",8383
39.,"NVIDIA GeForce RTX 3060 (Laptop, 105W)",8290
40.,AMD Radeon RX 6700S,8264
41.,"NVIDIA GeForce RTX 3070 (Laptop, 85W)",8107
42.,NVIDIA RTX A3000 (Laptop),7875
43.,"NVIDIA GeForce RTX 3060 (Laptop, 95W)",7722
44.,"NVIDIA GeForce RTX 3060 (Laptop, 75W)",7534
45.,NVIDIA GeForce RTX 2070 SUPER Max-Q (90W),7454
46.,"NVIDIA GeForce RTX 3060 (Laptop, 90W)",7290
47.,"NVIDIA GeForce RTX 3060 (Laptop, 85W)",7238
48.,AMD Radeon RX 6600M,7052
49.,"NVIDIA GeForce RTX 3060 (Laptop, 70W)",6856
50.,"NVIDIA GeForce RTX 3060 (Laptop, 65W)",6788
51.,"NVIDIA GeForce RTX 2060 (Laptop, 115W)",6618
52.,"NVIDIA GeForce RTX 4050 (Laptop, 45W)",6518
53.,NVIDIA GeForce RTX 2070 Max-Q,6426
54.,Intel Arc A550M,6000
55.,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)",5970
56.,"NVIDIA GeForce RTX 3050 Ti (Laptop, 95W)",5936
57.,"NVIDIA GeForce RTX 2060 (Laptop, 80W)",5931
58.,"NVIDIA GeForce RTX 2060 (Laptop, 90W)",5920
59.,"NVIDIA GeForce RTX 3050 Ti (Laptop, 80W)",5672
60.,NVIDIA GeForce GTX 1660 Ti (Laptop),5558
61.,"NVIDIA GeForce RTX 3050 (Laptop, 95W)",5506
62.,"NVIDIA GeForce RTX 3050 (Laptop, 85W)",5333
63.,"NVIDIA GeForce RTX 3050 Ti (Laptop, 65W)",5299
64.,NVIDIA RTX A2000 (Laptop),5294
65.,"NVIDIA GeForce RTX 3050 Ti (Laptop, 60W)",5232
66.,"NVIDIA GeForce RTX 3050 (Laptop, 90W)",5074
67.,"NVIDIA GeForce RTX 3050 Ti (Laptop, 50W)",5071
68.,NVIDIA GeForce GTX 1660 Ti Max-Q,4979
69.,"NVIDIA GeForce RTX 3050 (Laptop, 75W)",4954
70.,"NVIDIA GeForce RTX 3050 (Laptop, 65W)",4808
71.,NVIDIA GeForce RTX 3050 Ti (Laptop),4789
