Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price
Lenovo ThinkPad X1 Carbon Gen 10,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-carbon-gen-10-22/,Intel Core i7-1265U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, WUXGA (1920 x 1200), IPS",512GB SSD,$254887
Dell Latitude 7530,https://laptopmedia.com/laptop-specs/dell-latitude-7530-10/,Intel Core i7-1270P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$168500
HP Victus 15,https://laptopmedia.com/laptop-specs/hp-victus-15-133/,Intel Core i5-12450H,8GB RAM,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,$69900
Lenovo IdeaPad Gaming 3i 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-152/,Intel Core i5-11300H,16GB RAM,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$76998
Dell Latitude 5320 2-in-1,https://laptopmedia.com/laptop-specs/dell-latitude-5320-2-in-1-23/,Intel Core i7-1185G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,$89500
HP ZBook Studio G5,https://laptopmedia.com/laptop-specs/hp-zbook-studio-g5-191/,Intel Core i9-8950HK,32GB RAM,Intel UHD Graphics 630,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$287999
Lenovo ThinkBook 13s Gen 4,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-13s-gen-4-5/,AMD Ryzen 5 6600U,8GB RAM,AMD Radeon 660M,"13.3”, WUXGA (1920 x 1200), IPS",256GB SSD,$69995
Dell G5 5511,https://laptopmedia.com/laptop-specs/dell-g5-5511-32/,Intel Core i5-11400H,8GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 95W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",1000GB SSD,$119999
ASUS ROG Strix G17,https://laptopmedia.com/laptop-specs/asus-rog-strix-g17-16/,AMD Ryzen 7 4800H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$207399
Lenovo ThinkPad T470,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t470-30/,Intel Core i7-7500U,8GB RAM,Intel HD Graphics 620,"14.0”, HD (1366 x 768), TN",256GB SSD,$149995
