,Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Detail price,GPU,HDD/SSD,M.2 Slot,RAM,OS,Body Material,Dimensions,Weight,Features,Fingerprint reader,Web camera,Backlit keyboard,Microphone,Speakers,Optical drive,Security Lock slot,Gifts,"Spill-resistant keyboard, MIL-STD-810G military certification"
0,Lenovo ThinkPad X1 Carbon Gen 10,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-carbon-gen-10-22/,Intel Core i7-1265U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, WUXGA (1920 x 1200), IPS",512GB SSD,$254887,$2548.87,"
Intel Iris Xe Graphics G7 (96EU) #108 in Top GPUs
",512GB SSD," 1x 2280 PCIe NVMe 4.0 x4 
				  
				See photo
",16GB LPDDR5,Windows 11 Home,"Aluminum, Carbon","315.6 x 222.5 x 14.95 - 15.36 mm (12.43"" x 8.76"" x 0.59"")",1.12 kg (2.5 lbs) ,Fingerprint reader,,HD / FHD / IR,,"Quad-Array 360° far-field, Dolby Voice","2x 2W woofers + 2x 0.8W tweeters Stereo Speakers, Dolby Atmos",,Kensington Nano Lock,,
1,Dell Latitude 7530,https://laptopmedia.com/laptop-specs/dell-latitude-7530-10/,Intel Core i7-1270P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$168500,$3674.37,"
Intel Iris Xe Graphics G7 (96EU) #108 in Top GPUs
",512GB SSD,,16GB LPDDR5,Windows 10 Pro,,"357.70 x 229.75 x 18.23 x 19.40 mm (14.08"" x 9.05"" x 0.72"")",1.55 kg (3.4 lbs) ,Web camera,,HD / FHD,,Dual Array Microphones,4x 2.5W Stereo Speakers,,Wedge Lock,,
2,HP Victus 15,https://laptopmedia.com/laptop-specs/hp-victus-15-133/,Intel Core i5-12450H,8GB RAM,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,$69900,$699.00,"
NVIDIA GeForce GTX 1650 (Laptop, 50W) #87 in Top GPUs
",512GB SSD," 1x 2280 M.2 NVMe slot 
				  
				See photo
",8GB DDR4,Windows 11 Home,Plastic / Polycarbonate,"357.88 x 255.01 x 23.5 mm (14.09"" x 10.04"" x 0.93"")",2.29 kg (5 lbs) ,Fingerprint reader,,HD with temporal noise reduction,,Dual Array Digital Microphones,"2x Speakers, HP Audio Boost, Bang & Olufsen",,,32GB SnowBell USB Card,
3,Lenovo IdeaPad Gaming 3i 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-152/,Intel Core i5-11300H,16GB RAM,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$76998,$769.98,"
NVIDIA GeForce GTX 1650 (Laptop) #90 in Top GPUs
",1TB SSD," 1x 2242 M.2 PCIe x4 + 1x 2280 M.2 PCIe x4 
				  
				See photo
",16GB DDR4,Windows 10 Home,Plastic / Polycarbonate,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",2.25 kg (5 lbs) ,Fingerprint reader,,HD,,Dual Array Microphone,"2x 2W, Nahimic Audio",,,,
4,Dell Latitude 5320 2-in-1,https://laptopmedia.com/laptop-specs/dell-latitude-5320-2-in-1-23/,Intel Core i7-1185G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,$89500,$895.00,"
Intel Iris Xe Graphics G7 (96EU) #108 in Top GPUs
",256GB SSD,,16GB DDR4,Windows 10 Pro,Plastic / Polycarbonate,"305.7 x 207.5 x 16.9 mm (12.04"" x 8.17"" x 0.67"")",1.32 kg (2.9 lbs) ,Fingerprint reader,,HD + FHD,,Digital Array Microphones,"2x 2W, Stereo Speakers",,Wedge Lock Slot,,
5,HP ZBook Studio G5,https://laptopmedia.com/laptop-specs/hp-zbook-studio-g5-191/,Intel Core i9-8950HK,32GB RAM,Intel UHD Graphics 630,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$287999,$2879.99,"
Intel UHD Graphics 630 #136 in Top GPUs
",512GB SSD,,32GB DDR4,Windows 10 Pro,,"360 x 245 x 18.8 mm (14.17"" x 9.65"" x 0.74"")",2.05 kg (4.5 lbs) ,Web camera,,HD 720p,,Dual-Array Microphone,Bang & Olufsen stereo speakers,,,,
6,Lenovo ThinkBook 13s Gen 4,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-13s-gen-4-5/,AMD Ryzen 5 6600U,8GB RAM,AMD Radeon 660M,"13.3”, WUXGA (1920 x 1200), IPS",256GB SSD,$69995,$699.95,"
AMD Radeon 660M #107 in Top GPUs
",256GB SSD,,8GB LPDDR5,Windows 11 Pro,,"297 x 211 x 14.9 mm (11.69"" x 8.31"" x 0.59"")",1.23 kg (2.7 lbs) ,Fingerprint reader,,"HD / FHD with Privacy Shutter, Fixed Focus",,"Dual Array Microphone with AI Noise Cancellation, Switchable Audio Modes"," 2x 2W Stereo Speakers, Dolby Atmos, HARMAN",,Kensington Nano Lock,,
7,Dell G5 5511,https://laptopmedia.com/laptop-specs/dell-g5-5511-32/,Intel Core i5-11400H,8GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 95W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",1000GB SSD,$119999,$1199.99,"
NVIDIA GeForce RTX 3050 (Laptop, 95W) #61 in Top GPUs
",1TB SSD," 2x 2280 M.2 NVMe slot 
				  
				See photo
",8GB DDR4,Windows 10 Home,Plastic / Polycarbonate,"357.26 x 272.11 x 21.32 - 25.33 mm (14.07"" x 10.71"" x 0.84"")",2.81 kg (6.2 lbs) ,Fingerprint reader,,HD,,Dual Array Microphones,"2x 2W, Nahimic 3D Audio",,,,
8,ASUS ROG Strix G17,https://laptopmedia.com/laptop-specs/asus-rog-strix-g17-16/,AMD Ryzen 7 4800H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$207399,$2073.99,"
NVIDIA GeForce RTX 3060 (Laptop, 130W) #35 in Top GPUs
",1TB SSD," 2x 2280 PCIe NVMe 3.0 x4 
				  
				See photo
",64GB DDR4,Windows 10 Home,"Plastic / Polycarbonate, Aluminum","395 x 282.1 x 23.4 ~ 27.5 mm (15.55"" x 11.11"" x 0.92"")",2.70 kg (6 lbs) ,Fingerprint reader,,,,Array  Microphone,"2x 4W, Dolby Atmos with Smart Amp",,,HDMI Cable,
9,Lenovo ThinkPad T470,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t470-30/,Intel Core i7-7500U,8GB RAM,Intel HD Graphics 620,"14.0”, HD (1366 x 768), TN",256GB SSD,$149995,$1499.95,"
Intel HD Graphics 620 #300 in Top GPUs
",256GB SSD," 1x 2280 PCIe NVMe (M key) 
				 ","8GB DDR4, 2133MHz",Windows 10 Pro,"Plastic, Glass-Fiber","337 x 233 x 20 mm (13.27"" x 9.17"" x 0.79"")",1.58 kg (3.5 lbs) ,Web camera,,720p HD,,dual array microphone,2 x 2W,,,,
