Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
MSI Raider GE78,https://laptopmedia.com/laptop-specs/msi-raider-ge78-44/,Intel Core i9-13980HX,64GB RAM,"NVIDIA GeForce RTX 4080 (Laptop, 175W)","17.0”, QHD+ (2560 x 1600), 240 Hz, IPS",8000GB SSD,$725999,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4579/,Intel Core i7-1355U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$134900,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3480/,Intel Core i5-1135G7,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$59999,
Lenovo V15 Gen 2,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-2-566/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$103900,1000GB HDD
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3479/,AMD Ryzen 3 3350U,20GB RAM,"AMD Radeon RX Vega 6 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$68999,
Acer Predator Helios 300,https://laptopmedia.com/laptop-specs/acer-predator-helios-300-1568/,Intel Core i7-12700H,24GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",1000GB SSD,$160900,
Lenovo ThinkPad Yoga 11e Gen 5,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-yoga-11e-gen-5-8/,Intel Pentium Silver N5030,8GB RAM,Intel UHD Graphics 605,"11.6”, HD (1366 x 768), IPS",256GB SSD,$41900,
LG Gram 17,https://laptopmedia.com/laptop-specs/lg-gram-17-220/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.0”, QHD+ (2560 x 1600), IPS",1000GB SSD,$214999,
ASUS ROG Strix G15,https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-757/,AMD Ryzen 7 4800H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$139999,
ASUS ROG Strix G15,https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-755/,AMD Ryzen 7 4800H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$164900,
