price,brand,ram,ram_type,display_size,display_type,resolution,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,ssd,os,weight,cpu_point,gpu_point,features
3629.0,ASUS,64.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,354.0,251.0,19.9,INTEL,NVIDIA,2000.0,WINDOWS,2.0,13001.0,,FINGERPRINT READER
3049.99,LENOVO,64.0,DDR5,15.6,QHD,2560 x 1440,165.0,IPS,358.8,262.35,19.99,INTEL,NVIDIA,2000.0,WINDOWS,2.4,15486.0,8841.0,FINGERPRINT READER
1819.0,ACER,32.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,360.4,271.1,25.9,INTEL,NVIDIA,2000.0,WINDOWS,2.5,15486.0,8864.0,FINGERPRINT READER
2359.99,ACER,32.0,DDR4,16.0,WQXGA,2560 x 1600,165.0,IPS,358.14,261.62,19.81,INTEL,NVIDIA,1000.0,WINDOWS,2.44,12390.0,8290.0,FINGERPRINT READER
1309.99,HP,64.0,DDR4,15.6,HD,1366 x 768,,TN,358.0,242.0,17.9,INTEL,INTEL,2000.0,WINDOWS,1.7,,1097.0,WEB CAMERA
1099.99,DELL,16.0,DDR4,14.0,FHD+,1920 x 1200,,IPS,314.0,227.5,15.7,AMD,AMD,1000.0,WINDOWS,1.55,10523.0,1129.0,FINGERPRINT READER
719.99,LENOVO,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,359.2,235.8,19.9,INTEL,INTEL,1000.0,WINDOWS,1.7,5125.0,1435.0,FINGERPRINT READER
1789.0,HP,64.0,DDR4,14.0,FHD,1920 x 1080,,IPS,323.3,214.6,17.9,INTEL,INTEL,1000.0,WINDOWS,1.32,5002.0,1097.0,FINGERPRINT READER
4649.0,HP,64.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.9,228.0,18.4,INTEL,INTEL,8000.0,WINDOWS,1.82,5002.0,1097.0,FINGERPRINT READER
989.0,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.0,242.0,17.9,INTEL,INTEL,1000.0,WINDOWS,1.7,9933.0,1435.0,FINGERPRINT READER
3699.99,ASUS,64.0,DDR5,17.3,QHD,2560 x 1440,240.0,IPS,395.0,282.0,23.4,AMD,NVIDIA,8000.0,WINDOWS,2.8,34357.0,10610.0,FINGERPRINT READER
1429.0,ASUS,12.0,DDR4,17.3,HD+,1600 x 900,,TN,406.9,256.0,19.9,INTEL,INTEL,4000.0,WINDOWS,2.3,3240.0,425.0,FINGERPRINT READER
1649.99,ACER,32.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,363.4,255.0,23.9,INTEL,NVIDIA,1000.0,WINDOWS,2.3,4666.0,5970.0,FINGERPRINT READER
579.99,LENOVO,8.0,DDR4,17.3,FHD,1920 x 1080,,IPS,399.0,274.0,19.9,AMD,AMD,512.0,WINDOWS,2.04,7983.0,914.0,FINGERPRINT READER
949.0,HP,16.0,DDR4,14.0,FHD,1920 x 1080,,IPS,325.1,216.6,17.0,AMD,AMD,1000.0,WINDOWS,1.41,10523.0,1129.0,FINGERPRINT READER
679.99,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,TN,358.5,242.0,17.9,AMD,AMD,512.0,WINDOWS,1.74,7135.0,914.0,WEB CAMERA
1029.99,DELL,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.5,235.56,17.5,INTEL,INTEL,1000.0,WINDOWS,1.73,5125.0,1435.0,FINGERPRINT READER
749.99,DELL,24.0,DDR4,15.6,FHD,1920 x 1080,120.0,IPS,358.5,235.6,15.52,AMD,AMD,512.0,WINDOWS,1.84,1839.0,451.0,FINGERPRINT READER
2134.99,ASUS,24.0,DDR5,14.0,WQXGA,2560 x 1600,120.0,IPS,312.0,227.0,18.5,AMD,AMD,4000.0,WINDOWS,1.65,14300.0,,FINGERPRINT READER
699.99,DELL,8.0,DDR4,15.6,FHD,1920 x 1080,,IPS,363.9,249.0,18.0,AMD,AMD,256.0,WINDOWS,1.96,2901.0,691.0,FINGERPRINT READER
899.99,DELL,24.0,DDR4,15.6,FHD,1920 x 1080,,IPS,363.9,249.0,18.0,AMD,AMD,512.0,WINDOWS,1.96,2901.0,691.0,FINGERPRINT READER
689.0,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.5,242.0,17.9,INTEL,INTEL,1000.0,WINDOWS,1.74,5002.0,1097.0,WEB CAMERA
800.0,DELL,8.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,235.56,17.5,AMD,AMD,1000.0,WINDOWS,1.71,2901.0,691.0,WEB CAMERA
1499.0,ASUS,32.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,359.0,256.0,22.8,AMD,NVIDIA,2000.0,WINDOWS,2.3,13081.0,7722.0,FINGERPRINT READER
599.0,HP,12.0,DDR4,17.3,HD+,1600 x 900,,TN,400.7,257.8,19.9,AMD,AMD,256.0,WINDOWS,2.38,,451.0,WEB CAMERA
1149.0,HP,64.0,DDR4,17.3,HD+,1600 x 900,,TN,400.7,257.8,19.9,AMD,AMD,2000.0,WINDOWS,2.38,10523.0,1129.0,FINGERPRINT READER
1349.0,ASUS,64.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,354.0,251.0,22.4,AMD,NVIDIA,4000.0,WINDOWS,2.2,14193.0,5936.0,FINGERPRINT READER
1189.0,DELL,64.0,DDR4,15.6,FHD,1920 x 1080,120.0,IPS,358.5,235.6,15.52,AMD,AMD,2000.0,WINDOWS,1.84,10523.0,1129.0,WEB CAMERA
879.0,HP,16.0,DDR4,17.3,FHD,1920 x 1080,,IPS,400.7,257.8,19.9,AMD,AMD,1000.0,WINDOWS,2.38,7135.0,914.0,WEB CAMERA
1199.0,HP,24.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.9,228.0,18.4,INTEL,INTEL,1000.0,WINDOWS,1.82,5481.0,1435.0,FINGERPRINT READER
799.0,HP,16.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,242.0,19.9,INTEL,INTEL,2000.0,WINDOWS,1.75,5002.0,1097.0,WEB CAMERA
3769.0,MSI,64.0,DDR5,15.6,QHD,2560 x 1440,240.0,IPS,358.3,248.0,18.3,INTEL,NVIDIA,4000.0,WINDOWS,2.1,16894.0,9638.0,FINGERPRINT READER
679.0,LENOVO,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,359.2,236.5,19.9,AMD,AMD,512.0,WINDOWS,1.63,10523.0,1129.0,FINGERPRINT READER
